,International,Domestic
2019,1939427564,858373000
2018,1369544272,678815482
2017,545965784,334201140
2016,745211944,408084349
2015,943800000,459005868
2014,51843932,78543391
2013,805797258,409013994
2012,895455078,623357910
2011,357000000,186848418
2010,422741781,412972374
2009,321612836,240748837
2008,472940095,563926352
2007,55632644,42790733
2006,31769047,67366196
2005,34624580,35801759
2004,1347437,188392
2003,81995195,60031754
2000,14033031,19393557
1999,32505132,71662074
1998,45200000,57167405
1990,2407668,31053601
1985,15100000,23834048
